,n_stars,n_planets,orbital_period_days,planet_radius_earth,planet_mass_earth,equilibrium_temp_k,orbital_eccentricity,semi_major_axis_au,star_temp_k,star_radius_sun,star_mass_sun,star_age_gyr,star_surface_gravity,star_metallicity,dist_from_earth_pc,star_vmag,ra,dec,planet_type,habitable_zone_flag,multi_planet_system,dist_category,star_type,orbital_period_cat
4037,1,1,22.341702927,2.68,7.65,598.0,,0.164086,6179.0,1.14,1.18,,4.3969,,114.39,9.543,294.2910707,60.881302,Mini-Neptune,False,False,Mid(100-500pc),F-type,Medium(10-100d)
4038,1,1,8.303341406,1.946,4.45,755.55,,0.073872,4814.0,0.781,0.78,6.3,4.584,0.07,70.9819,10.692,240.172481,83.2586589,Mini-Neptune,False,False,Nearby(<100pc),K-type,Short(1-10d)
4039,1,3,2.42614,2.691,7.71,1234.03,0.0,0.03392,5315.0,0.92,0.89,10.0,4.458,0.16,342.605,13.364,114.4673065,-62.0782776,Mini-Neptune,False,True,Mid(100-500pc),G-type(Sun-like),Short(1-10d)
4040,1,3,82.97213,11.09689089,1197.32317485,182.8,0.032,0.3569,5315.0,0.92,0.89,10.0,4.458,0.16,342.605,13.364,114.4673065,-62.0782776,Gas Giant,False,True,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
4041,1,2,12.11839,2.19,5.43,551.0,,0.0923,4629.0,0.67,0.71,,4.64,-0.14,227.775,14.238,185.5507926,-4.7172908,Mini-Neptune,False,True,Mid(100-500pc),K-type,Medium(10-100d)
4042,1,1,177.11,12.6,2425.0429,,0.07,0.64,4673.0,10.64,1.93,1.5,2.67,-0.37,283.502,8.09,15.1383168,20.2923139,Gas Giant,False,False,Mid(100-500pc),K-type,Long(100-365d)
4043,1,1,21.998,14.2,155.7367,,0.17,0.14,5769.0,1.12,1.1,11.27,4.38,-0.55,42.358,7.72,16.1663441,-39.4904909,Gas Giant,False,False,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
4044,1,3,7.775,1.0,0.972,427.0,,0.0576,3420.0,0.36,0.4,,4.9,-0.1,31.0849,14.632,160.5941265,4.4413751,Super-Earth,False,True,Nearby(<100pc),M-type(Red Dwarf),Short(1-10d)
4045,1,1,1.60588,0.83,0.498,789.0,,0.0216,3725.0,0.5,0.52,,4.76,-0.03,64.0065,13.716,188.278284,-1.9532879,Sub-Earth,False,False,Nearby(<100pc),K-type,Short(1-10d)
4046,1,1,19.0921,3.0,9.27,831.0,,0.149,6351.0,1.31,1.21,,4.29,0.01,661.873,13.361,187.6314027,-1.1609171,Mini-Neptune,False,False,Far(500-2kpc),F-type,Medium(10-100d)
4047,1,1,734.0,12.7,2002.329,,0.18,2.038,4740.1,10.267424,2.1,1.14,2.52,0.12,859.324,10.909,261.2086139,-49.9489317,Gas Giant,False,False,Far(500-2kpc),K-type,Very-Long(365d+)
4048,1,3,40.5634,13.6,450.23572136,,0.0445,0.2219,5315.0,0.92,0.89,10.0,4.458,0.16,342.605,13.364,114.4673065,-62.0782776,Gas Giant,False,True,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
4049,1,1,9.978541,2.36509493,6.5,1220.0,0.48,0.0932,6310.0,1.499,1.084,5.3,4.122,-0.456,80.8994,8.24,336.5761233,-18.011665,Mini-Neptune,False,False,Nearby(<100pc),F-type,Short(1-10d)
4050,1,2,20.523,1.8,3.89,389.0,,0.1159,3810.0,0.54,0.58,,4.7,-0.1,72.9105,13.372,227.849371,-17.8754464,Mini-Neptune,True,True,Nearby(<100pc),K-type,Medium(10-100d)
4051,1,2,6.034,2.0,4.66,586.0,,0.0513,3810.0,0.54,0.58,,4.7,-0.1,72.9105,13.372,227.849371,-17.8754464,Mini-Neptune,False,True,Nearby(<100pc),K-type,Short(1-10d)
4052,1,1,,2.95,9.0,,,1.8,,,0.2,,,,5800.0,,269.048889,-30.5283604,Mini-Neptune,False,False,Distant(2k+pc),Unknown,Unknown
4053,1,1,3.183387,15.47960235,373.13054982,1693.0,0.0,0.047,6405.0,1.409,1.29,0.75,4.27,0.0,476.831,11.985,295.3877064,56.2178049,Super-Jupiter,False,False,Mid(100-500pc),F-type,Short(1-10d)
4054,1,4,330.0716,2.94,17.4,286.0,0.0,0.9342,5990.0,0.985,1.061,0.65,4.47,-0.0098,704.438,14.142,297.4653351,42.8828517,Mini-Neptune,True,True,Far(500-2kpc),G-type(Sun-like),Long(100-365d)
4055,2,1,3.50927,14.2,155.7367,1260.0,0.03,0.05,6117.0,1.23,1.29,5.6,4.37,0.26,29.1158,6.35,131.9181715,-41.7377748,Gas Giant,False,False,Nearby(<100pc),F-type,Short(1-10d)
4056,1,1,3.97097,9.6,66.7443,,0.09,0.05,5644.0,1.37,0.99,11.0,4.16,0.31,60.8831,8.16,133.4782248,-66.8004747,Gas Giant,False,False,Nearby(<100pc),G-type(Sun-like),Short(1-10d)
4057,1,1,5.748916,14.81827249,458.6263913,1666.0,0.0,0.072,6850.0,1.83,1.5,,4.1,0.0,675.281,12.165,278.7819771,36.6156327,Super-Jupiter,False,False,Far(500-2kpc),F-type,Short(1-10d)
4058,1,1,6.6132,13.67495645,203.41018048,1414.0,0.0,0.065,6250.0,1.426,1.25,1.7,4.25,0.0,559.243,12.517,35.2157609,-1.8260419,Gas Giant,False,False,Far(500-2kpc),F-type,Short(1-10d)
4059,2,1,34.005019,4.6,19.2,204.4,,0.1136,3230.0,0.234,0.23,6.0,5.016,-0.53,38.6057,15.99,149.9918059,-16.1597935,Neptune-like,True,False,Nearby(<100pc),M-type(Red Dwarf),Medium(10-100d)
4060,1,1,13.635109,1.77,19.5,358.0,0.3,0.1363,3491.0,0.464,0.454,,4.77262,-0.05,42.409,13.403,332.5632644,58.7060934,Mini-Neptune,True,False,Nearby(<100pc),M-type(Red Dwarf),Medium(10-100d)
4061,1,1,3999.0,13.4,581.62598481,,0.16,5.14,5701.0,1.85,1.21,8.2,3.99,-0.18,50.6078,7.11716,354.5025617,48.9960191,Gas Giant,False,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
4062,1,2,,11.0,83.7,,,1.7,,,0.4,,,,6400.0,,268.75238,-31.4690552,Gas Giant,False,True,Distant(2k+pc),Unknown,Unknown
4063,1,2,2.3260155,1.36,2.47,543.0,0.055,0.0208,3370.0,0.232,0.22,6.7,4.8,-0.13,25.2788,14.888,164.1138903,-72.9851736,Super-Earth,False,True,Nearby(<100pc),M-type(Red Dwarf),Short(1-10d)
4064,1,1,30.158577,11.98240037,921.7023803,976.0,0.745,0.2157,6160.0,2.333,1.469,4.0,3.869,0.065,392.259,11.06,94.4042694,31.6103309,Gas Giant,False,False,Mid(100-500pc),F-type,Medium(10-100d)
4065,2,2,6.5886982,2.224,2.95,819.8,0.0,,4975.0,0.72,0.715,12.0,4.576,-0.31,78.7415,11.113,258.2232705,57.1977779,Mini-Neptune,False,True,Nearby(<100pc),K-type,Short(1-10d)
4066,1,4,162.87,1.81,3.93,,0.18,0.538,5310.0,0.83,0.783,12.12,4.52,-0.52,3.60304,3.49607,26.0093029,-15.9337987,Mini-Neptune,False,True,Nearby(<100pc),G-type(Sun-like),Long(100-365d)
4067,1,1,21.06884,1.75,3.71,638.0,,0.1418,5677.0,0.92,0.86,,4.44,-0.29,212.902,11.78,183.4686492,-3.8318097,Mini-Neptune,False,False,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
4068,1,2,46.9622,2.54,11.32,479.0,0.153,0.25,5666.0,0.897,0.94,2.5,4.47,-0.27,69.6026,9.36,81.3488924,-44.4312849,Mini-Neptune,False,True,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
4069,1,2,10.06049,2.64,7.46,794.0,,0.0887,5503.0,0.95,0.92,,4.45,0.07,197.299,11.774,179.9397081,-5.7216879,Mini-Neptune,False,True,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
4070,1,1,9.691,11.43316031,114.41822652,882.37,0.04,,4700.0,4.1,1.07,10.3,3.244,0.25,439.52,11.251,357.8021716,-50.8698618,Gas Giant,False,False,Mid(100-500pc),K-type,Short(1-10d)
4071,1,1,2166.0,13.4,642.01338214,,0.2,3.27,5955.0,1.1,1.27,2.31,4.46,-0.13,32.0104,7.02569,154.5874958,12.6209392,Gas Giant,False,False,Nearby(<100pc),G-type(Sun-like),Very-Long(365d+)
4072,1,1,647.29999,12.1,6661.7168,,0.3,1.42,3943.0,51.1,10.94,4.067,2.06,-0.24,587.659,7.40521,166.441502,44.30155,Gas Giant,False,False,Far(500-2kpc),K-type,Very-Long(365d+)
4073,1,1,12.42205,2.26,5.73,684.0,,0.1013,5425.0,0.83,0.9,,4.56,-0.07,170.998,11.995,180.5408896,-3.5809053,Mini-Neptune,False,False,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
4074,1,1,533.0,12.5,2793.7257,,0.64,1.36,4374.0,21.66,1.86,6.7,2.04,-0.27,752.615,9.19,5.3055886,-8.2811442,Gas Giant,False,False,Far(500-2kpc),K-type,Very-Long(365d+)
4075,1,2,12.885779,4.29,8.0,588.0,0.0,0.097,4687.0,0.715,0.756,1.4,4.62,0.014,119.24,11.871,178.0461054,35.1718001,Neptune-like,False,True,Mid(100-500pc),K-type,Medium(10-100d)
4076,1,2,6.293287,2.99,10.32,747.0,0.0,0.06,4687.0,0.715,0.756,1.4,4.62,0.014,119.24,11.871,178.0461054,35.1718001,Mini-Neptune,False,True,Mid(100-500pc),K-type,Short(1-10d)
4077,1,4,10.778838,2.865,5.93,802.0,0.023,0.0889,5342.0,0.843,0.806,16.1,4.47,-0.41,85.799,10.252,148.1851516,6.216103,Mini-Neptune,False,True,Nearby(<100pc),G-type(Sun-like),Medium(10-100d)
4078,1,2,8.52695,2.19,5.43,1140.0,,0.0858,5960.0,1.61,1.16,,4.09,0.09,476.882,12.081,185.1880932,2.2823788,Mini-Neptune,False,True,Mid(100-500pc),G-type(Sun-like),Short(1-10d)
4079,1,1,550.0,13.2,832.7146,,0.59,1.32,5671.0,2.47,1.53,8.59,3.84,-0.48,111.659,8.292,278.0643694,6.9456827,Gas Giant,False,False,Mid(100-500pc),G-type(Sun-like),Very-Long(365d+)
4080,1,1,359.89999,12.5,3219.6179,,0.17,1.31,4326.0,13.58,6.73,2.6,3.0,0.18,228.422,7.732,41.5924261,49.6530375,Gas Giant,False,False,Mid(100-500pc),K-type,Long(100-365d)
4081,1,2,4.888,4.36,25.0,838.0,0.251,0.05258,4653.0,0.683,0.811,2.69,4.663,0.31,37.7647,9.46,297.7101763,48.0818635,Neptune-like,False,True,Nearby(<100pc),K-type,Short(1-10d)
4082,1,2,3361.0,13.2,851.78013076,,0.652,4.1,4653.0,0.683,0.811,2.69,4.663,0.31,37.7647,9.46,297.7101763,48.0818635,Gas Giant,False,True,Nearby(<100pc),K-type,Very-Long(365d+)
4083,2,3,5.973865,1.979,3.8,1309.0,0.0,0.0687,6354.0,1.258,1.204,2.0,4.3,0.025,31.964,6.38,42.9849779,-30.8140609,Mini-Neptune,False,True,Nearby(<100pc),F-type,Short(1-10d)
4084,1,3,10.8945,2.52,4.46,415.0,0.039,0.073,3563.0,0.4232,0.437,4.6,4.826,-0.109,36.0118,12.941,197.9965833,65.8336973,Mini-Neptune,False,True,Nearby(<100pc),M-type(Red Dwarf),Medium(10-100d)
4085,2,2,2880.0,13.3,724.622,,0.24,3.39,57000.0,,0.535,,,,515.818,16.943,238.2337015,12.9120871,Gas Giant,False,True,Far(500-2kpc),O-type,Very-Long(365d+)
4086,1,2,10.09489,2.41,6.39,764.0,,0.0886,5620.0,0.84,0.91,,4.55,-0.19,275.255,12.7,189.7041426,-10.0605942,Mini-Neptune,False,True,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
4087,1,1,17.10197,9.97599282,50.85254512,842.0,0.057,0.127,5525.0,0.9,0.95,4.0,4.505,0.09,231.782,12.331,31.6907424,-81.247376,Gas Giant,False,False,Mid(100-500pc),G-type(Sun-like),Medium(10-100d)
4088,1,2,3.348237,3.309,9.2,530.9,0.0789,0.029322,3297.0,0.3273,0.3041,5.5,5.04,-0.31,47.3444,16.11,232.1326528,27.361073,Mini-Neptune,False,True,Nearby(<100pc),M-type(Red Dwarf),Short(1-10d)
4089,1,1,2.709813,14.90794433,197.68926915,1671.0,0.0,0.041,5990.0,1.375,1.08,0.67,4.2,-0.2,535.689,12.667,336.4643016,15.8566392,Super-Jupiter,False,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
4090,1,1,8.79758977,9.75,112.0,528.0,0.072,0.0712,3790.0,0.594,0.619,9.7,4.68,0.42,186.562,15.508,136.4259999,55.3071309,Gas Giant,False,False,Mid(100-500pc),K-type,Short(1-10d)
4091,1,6,284.0,3.74,13.5,278.0,0.03,0.812,5348.0,0.94,0.81,8.7,4.3,-0.15,53.6089,8.97,302.0256247,66.8503014,Neptune-like,True,True,Nearby(<100pc),G-type(Sun-like),Long(100-365d)
4092,1,1,6.0881,13.8,311.4734,,0.09,0.06,4503.0,0.69,0.82,0.625,4.67,0.13,45.0293,10.49,61.755663,15.3349441,Gas Giant,False,False,Nearby(<100pc),K-type,Short(1-10d)
4093,1,1,2.86041,1.96,4.5,1529.0,,0.0409,5945.0,1.39,1.11,,4.2,0.1,540.773,12.789,191.363117,-6.576051,Mini-Neptune,False,False,Far(500-2kpc),G-type(Sun-like),Short(1-10d)
4094,1,2,8.32727,2.03,7.0,750.0,0.0,0.0769,5315.0,0.79,0.87,5.4,4.59,-0.09,102.564,10.985,186.8729195,-6.7218474,Mini-Neptune,False,True,Mid(100-500pc),G-type(Sun-like),Short(1-10d)
4095,1,1,15.48043,2.32,5.99,795.0,,0.1271,6059.0,1.13,1.14,,4.39,0.16,416.457,12.511,186.8026947,1.5668631,Mini-Neptune,False,False,Mid(100-500pc),F-type,Medium(10-100d)
